question_id,pipeline_name,retrieved_chunk_count,structured_ops_used,filter_fallback_applied
101,qwen_rag,4,ontology_filtered_list,False
102,qwen_rag,0,count_ontology_companies,False
103,qwen_rag,8,filtered_list,False
104,qwen_rag,1,rd_facilities,False
105,qwen_rag,3,ontology_filtered_list,False
106,qwen_rag,8,filtered_list,False
107,qwen_rag,8,,False
108,qwen_rag,2,ontology_filtered_list,False
109,qwen_rag,8,filtered_list,False
110,qwen_rag,8,filtered_list,False
111,qwen_rag,0,top_company_by_employment,False
112,qwen_rag,0,count_ontology_companies,False
113,qwen_rag,8,filtered_list,False
114,qwen_rag,1,ontology_filtered_list,False
115,qwen_rag,1,rd_facilities,False
