question_id,pipeline_name,evaluation_status,faithfulness,response_relevancy,context_precision,context_recall,answer_correctness
1,qwen_norag,success,,0.7333066506578115,,,0.6860057993105071
2,qwen_norag,success,,0.0,,,0.5253175164306203
3,qwen_norag,success,,0.0,,,0.25599853856273574
4,qwen_norag,success,,0.6440988830193118,,,0.5527275969816658
5,qwen_norag,success,,0.8708942322439365,,,0.3513075909682781
6,qwen_norag,success,,0.0,,,0.34719182232653656
7,qwen_norag,success,,0.0,,,0.5039751727625319
8,qwen_norag,success,,0.0,,,0.6704471036447204
9,qwen_norag,success,,0.0,,,0.6834415403766528
10,qwen_norag,success,,0.7713867201600427,,,0.2612387738627555
11,qwen_norag,success,,0.0,,,0.42982565773666453
12,qwen_norag,success,,0.7916562627017084,,,0.4660006105610249
13,qwen_norag,success,,0.0,,,0.35301131632026955
14,qwen_norag,success,,0.0,,,0.5479929675596197
15,qwen_norag,success,,0.0,,,0.4078225660320548
16,qwen_norag,success,,0.630518304609782,,,0.5639507162376427
17,qwen_norag,success,,0.5626048180271215,,,0.5700391965426391
18,qwen_norag,success,,0.9039979842553508,,,0.5783801377240154
19,qwen_norag,success,,0.20368097078535652,,,0.6340324343918633
20,qwen_norag,success,,0.8938254847992703,,,0.3293348878641802
21,qwen_norag,success,,0.0,,,0.3873852835130057
22,qwen_norag,success,,0.9131606204748929,,,0.49220522125734084
23,qwen_norag,success,,0.0,,,0.4906803425583108
24,qwen_norag,success,,0.33814952649959656,,,0.6234534510335512
25,qwen_norag,success,,0.904203326385289,,,0.30749244836209455
26,qwen_norag,success,,0.6375429561879272,,,0.7202107503767439
27,qwen_norag,success,,0.48358455631203284,,,0.24149672356333368
28,qwen_norag,success,,0.4077369398742565,,,0.3636464894448268
29,qwen_norag,success,,0.0,,,0.6383704857659834
30,qwen_norag,success,,0.0,,,0.4037225404002861
31,qwen_norag,success,,0.7304507171403726,,,0.4216171423083189
32,qwen_norag,success,,0.8122228435849962,,,0.47834660749652874
33,qwen_norag,success,,0.8202200486629178,,,0.3245130788924043
34,qwen_norag,success,,0.0,,,0.3581621031568738
35,qwen_norag,success,,0.0,,,0.36122431204913663
36,qwen_norag,success,,0.7204380837273123,,,0.4141146543191272
37,qwen_norag,success,,0.7690370520282993,,,0.5943532947256689
38,qwen_norag,success,,0.932403759573584,,,0.4648813417339807
39,qwen_norag,success,,0.6465618719995331,,,0.5759574558148045
40,qwen_norag,success,,0.0,,,0.7139514662254389
41,qwen_norag,success,,0.7949303891391205,,,0.46051238438606373
42,qwen_norag,success,,0.8429909117889783,,,0.45265971799600113
43,qwen_norag,success,,0.6985384526700539,,,0.3523233674339874
44,qwen_norag,success,,0.6005489462844992,,,0.5910081986685221
45,qwen_norag,success,,0.23099574883140925,,,0.36386608546022703
46,qwen_norag,success,,0.950262594078857,,,0.25496836486023644
47,qwen_norag,success,,0.8784309366001111,,,0.5616079104415023
48,qwen_norag,success,,0.0,,,0.38904720837629564
49,qwen_norag,success,,0.7635214511538425,,,0.6093314838059702
50,qwen_norag,success,,0.7201347539034186,,,0.5248457124433524
1,qwen_rag,success,1.0,0.6561209883537376,0.9999999999,0.9473684210526315,0.5817548148785676
2,qwen_rag,success,1.0,0.6836475606523229,0.9999999999,1.0,0.6650762444373222
3,qwen_rag,success,1.0,0.891150811246049,0.9999999999,0.8333333333333334,0.6662462891110025
4,qwen_rag,success,1.0,0.41381528449974697,0.9999999999,0.6,0.5390167551337058
5,qwen_rag,success,1.0,0.9793019351941724,0.9999999999,1.0,0.5704027330962078
6,qwen_rag,success,1.0,0.8642748902931771,0.9999999999,1.0,0.6686357351557853
7,qwen_rag,success,0.6666666666666666,0.6078362606333739,0.9999999999,1.0,0.5463848611427091
8,qwen_rag,success,1.0,0.9848538955417848,0.9999999999,1.0,0.6504461065685442
9,qwen_rag,success,0.5,0.9332942744526168,0.9999999999,1.0,0.9928312750334163
10,qwen_rag,success,0.8,0.4546285816290833,0.9999999999,1.0,0.567435521947669
11,qwen_rag,success,1.0,0.8272986700773345,0.9999999999,1.0,0.6697722294043704
12,qwen_rag,success,0.5714285714285714,0.27807568304086727,0.9999999999,1.0,0.3934386681769456
13,qwen_rag,success,0.5,0.1225652746740012,0.9999999999,1.0,0.09099470399704351
14,qwen_rag,success,0.625,0.9483655690921625,0.0,0.2,0.5820122223692469
