question_id,pipeline_name,generation_output_path,evaluation_status,faithfulness,response_relevancy,context_precision,context_recall,answer_correctness,error_message,timestamp_utc,metric_payload
1,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.8335428671036977,,,0.3660279841417355,,2026-04-06T06:00:37+00:00,"{'user_input': 'Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.', 'retrieved_contexts': [], 'response': ""I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nTier 1 and Tier 2 suppliers in Georgia's EV supply chain would typically include companies that provide critical components and services directly to OEMs or their immediate suppliers. These roles could involve manufacturing batteries, electric motors, power electronics, charging infrastructure, and other essential parts and services for electric vehicles. The exact list of companies and their specific roles would depend on the dataset provided."", 'reference': 'There are 18 Tier 1/2 companies in Georgia (using Updated Location). F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems', 'answer_relevancy': 0.8335428671036977, 'answer_correctness': 0.3660279841417355, 'response_relevancy': 0.8335428671036977}"
2,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.8624168414432553,,,0.4012760463814195,,2026-04-06T06:00:57+00:00,"{'user_input': 'Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nCompanies classified under Battery Cell or Battery Pack roles in Georgia would typically be involved in the manufacturing or assembly of battery components for electric vehicles or other applications. The tier assigned to each company would depend on its relationship with original equipment manufacturers (OEMs) and its position within the supply chain, such as Tier 1 suppliers directly serving OEMs or lower tiers supplying components to higher-tier suppliers.', 'reference': 'There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack', 'answer_relevancy': 0.8624168414432553, 'answer_correctness': 0.4012760463814195, 'response_relevancy': 0.8624168414432553}"
3,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.0,,,0.3609915104284826,,2026-04-06T06:01:14+00:00,"{'user_input': 'Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nThermal Management suppliers in Georgia and their links to Primary OEMs would typically involve identifying companies that specialize in thermal management solutions and mapping them to the original equipment manufacturers they supply. This process would require specific industry data and company relationships that are not available from closed-book knowledge.', 'reference': 'There are 5 Thermal Management companies in Georgia. ZF Gainesville LLC | OEMs: Multiple OEMs Freudenberg-NOK | OEMs: Multiple OEMs Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian Novelis Inc. | OEMs: Multiple OEMs Peerless-Winsmith Inc. | OEMs: Multiple OEMs', 'answer_relevancy': 0.0, 'answer_correctness': 0.3609915104284826, 'response_relevancy': 0.0}"
4,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.7569097406276167,,,0.5527275969816658,,2026-04-06T06:01:29+00:00,"{'user_input': 'List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone. However, companies classified under Power Electronics or Charging Infrastructure in Georgia would typically include firms involved in the manufacturing, distribution, or installation of related technologies and services. Employment sizes for such companies could vary widely depending on the specific nature and scale of their operations.', 'reference': 'There are 4 companies strictly classified under Power Electronics or Charging Infrastructure: GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500', 'answer_relevancy': 0.7569097406276167, 'answer_correctness': 0.5527275969816658, 'response_relevancy': 0.7569097406276167}"
5,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.8610807341439877,,,0.3465202303239645,,2026-04-06T06:01:48+00:00,"{'user_input': 'Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nDirect Manufacturers in the context of electric vehicles (EVs) typically include companies that produce EV components or complete vehicles. These companies often cover roles such as vehicle manufacturing, battery production, and other critical parts of the supply chain. The specific companies and their roles would depend on the detailed dataset provided.', 'reference': 'Original Equipment Manufacturer companies (11): Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly', 'answer_relevancy': 0.8610807341439877, 'answer_correctness': 0.3465202303239645, 'response_relevancy': 0.8610807341439877}"
6,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.9071622092394006,,,0.34719182232653656,,2026-04-06T06:02:01+00:00,"{'user_input': 'What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nNovelis Inc. operates in multiple countries with various facility types such as rolling mills, can plants, and recycling facilities. The specific locations and associated primary facility types would depend on official company sources or reports.', 'reference': 'Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.', 'answer_relevancy': 0.9071622092394006, 'answer_correctness': 0.34719182232653656, 'response_relevancy': 0.9071622092394006}"
7,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.0,,,0.4655952178054928,,2026-04-06T06:02:17+00:00,"{'user_input': 'In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nThe company with the highest employment in Gwinnett County and its role in the EV supply chain would depend on specific local business data and employment figures.', 'reference': 'WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).', 'answer_relevancy': 0.0, 'answer_correctness': 0.4655952178054928, 'response_relevancy': 0.0}"
8,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.0,,,0.6704471036447204,,2026-04-06T06:02:29+00:00,"{'user_input': 'Which county have the highest total Employment among Tier 1 suppliers only?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone. The highest total employment among Tier 1 suppliers would depend on the specific counties where these suppliers have their facilities and the size of those facilities.', 'reference': 'Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees', 'answer_relevancy': 0.0, 'answer_correctness': 0.6704471036447204, 'response_relevancy': 0.0}"
9,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.0,,,0.6752463249040415,,2026-04-06T06:02:40+00:00,"{'user_input': 'Which county has the highest total employment across all companies, and what is the combined employment in that county?', 'retrieved_contexts': [], 'response': 'I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nThe county with the highest total employment would be the one where many companies or large employers are located, but I cannot specify which county or the exact number without the dataset.', 'reference': 'Gwinnett County has the highest total employment across all companies: 253022.', 'answer_relevancy': 0.0, 'answer_correctness': 0.6752463249040415, 'response_relevancy': 0.0}"
10,qwen_norag,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/f283a1f51275e83c/responses.jsonl,success,,0.0,,,0.29082632570959444,,2026-04-06T06:02:56+00:00,"{'user_input': 'Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.', 'retrieved_contexts': [], 'response': ""I cannot determine the exact dataset-specific answer from closed-book knowledge alone.\nVehicle assembly facilities and their primary OEM associations are specific to each company's operations and facility locations, which would be detailed in company-specific datasets or reports."", 'reference': 'There are 10 Vehicle Assembly OEMs along with their Primary OEMs are: Kia Georgia Inc. | Primary OEMs: Club Car LLC Superior Essex Inc. | Primary OEMs: Hyundai Motor Group Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive TCI Powder Coatings | Primary OEMs: Kia Georgia Inc. TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC TE Connectivity | Primary OEMs: Blue Bird Corp. Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles Thermal Ceramics Inc. | Primary OEMs: SK Battery America Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.', 'answer_relevancy': 0.0, 'answer_correctness': 0.29082632570959444, 'response_relevancy': 0.0}"
